5,8,Sul,-0.45999999999999996
5,8,Norte,-3.596100706729097
5,8,Oeste,-0.010000000000000002
4,8,Oeste,-0.010000000000000002
3,8,Este,0.02
4,8,Este,0.04000000000000001
5,8,Este,1.7094412198952393
6,8,Este,1.9318852856643478
7,8,Norte,-3.578687340625935
7,8,Oeste,-0.0064
7,8,Este,1.7009537548894207
8,8,Este,1.4394681172438304
9,8,Sul,-0.51
9,8,Este,-0.010000000000000002
10,8,Norte,0.04000000000000001
10,7,Este,-0.010000000000000002
11,7,Sul,-0.010000000000000002
11,8,Este,-0.010000000000000002
12,8,Norte,0.04000000000000001
12,7,Norte,0.05600000000000001
12,6,Sul,-0.026400000000000003
12,6,Oeste,0.04000000000000001
11,6,Oeste,0.04000000000000001
10,6,Oeste,-0.51
10,6,Norte,0.121396
10,5,Norte,0.13176400000000002
10,4,Este,-0.010000000000000002
11,4,Norte,0.04000000000000001
11,3,Norte,-0.010000000000000002
11,2,Oeste,0.04000000000000001
10,2,Oeste,0.05600000000000001
9,2,Este,-0.026400000000000003
9,2,Sul,0.05600000000000001
9,3,Este,-0.010000000000000002
10,3,Este,-0.010000000000000002
11,3,Oeste,0.02
10,3,Sul,-0.010000000000000002
10,4,Sul,-0.0064
10,4,Norte,0.19980400000000004
10,3,Oeste,2.6384800000000004
9,3,Norte,-0.0064
9,3,Oeste,27.208400000000005
8,3,Norte,-0.010000000000000002
6,8,Norte,-3.3402323412041706
8,8,Norte,1.2627510393536543
8,7,Este,-0.2691639806213731
9,7,Norte,-3.826145487208744
9,7,Sul,-0.017200000000000003
9,8,Norte,1.710681886116989
9,7,Oeste,1.4568608399621445
8,7,Sul,1.1796379528704306
8,7,Norte,-4.041922416888411
8,7,Oeste,-0.53
8,8,Sul,-0.51
8,8,Oeste,-0.019127310240365247
9,7,Este,-0.015076000000000003
10,7,Norte,0.08653360000000002
8,3,Oeste,-0.51
8,3,Este,2.4187560000000006
