Episodio,AgenteID,Passos,Ganhou,Recompensa
111,2,29,1,191.7
112,1,33,1,-8.3
112,2,33,1,191.35
113,1,25,1,-12.5
113,2,25,1,97.3
114,1,25,1,-12.85
114,2,25,1,97.1
115,1,28,1,-2.8
115,2,28,1,92.0
116,1,27,1,-2.7
116,2,27,1,87.1
117,1,31,1,-8.1
117,2,31,1,70.9
118,1,27,1,-17.7
118,2,27,1,76.9
119,1,30,1,-13.0
119,2,30,1,81.8
120,1,29,1,-7.9
120,2,29,1,87.0
121,1,25,1,-17.5
121,2,25,1,92.3
122,1,23,1,-12.3
122,2,23,1,97.5
123,1,25,1,-2.5
123,2,25,1,87.3
124,1,27,1,-2.7
124,2,27,1,82.15
125,1,25,1,-2.5
125,2,25,1,97.3
126,1,26,1,-12.6
126,2,26,1,192.0
127,1,32,1,-23.2
127,2,32,1,86.05
128,1,26,1,-7.6
128,2,26,1,197.0
129,1,24,1,-12.4
129,2,24,1,92.4
130,1,25,1,-12.4
130,2,25,1,87.3
131,1,24,1,-2.4
131,2,24,1,97.4
132,1,26,1,-2.6
132,2,26,1,92.2
133,1,26,1,-27.6
133,2,26,1,87.25
134,1,24,1,-2.4
134,2,24,1,97.4
135,1,27,1,-2.7
135,2,27,1,76.9
136,1,25,1,-2.5
136,2,25,1,87.3
137,1,24,1,-7.4
137,2,24,1,92.4
138,1,24,1,-7.4
138,2,24,1,92.4
139,1,25,1,-7.5
139,2,25,1,92.4
140,1,28,1,-7.8
140,2,28,1,77.05
141,1,24,1,-2.4
141,2,24,1,92.2
142,1,30,1,-8.0
142,2,30,1,176.65
143,1,25,1,-12.5
143,2,25,1,87.3
144,1,23,1,-2.3
144,2,23,1,97.5
145,1,24,1,-2.3
145,2,24,1,97.45
146,1,24,1,-7.4
146,2,24,1,97.5
147,1,30,1,-8.0
147,2,30,1,171.4
148,1,24,1,-2.4
148,2,24,1,97.45
149,1,25,1,-12.5
149,2,25,1,87.1
150,1,26,1,-2.6
150,2,26,1,87.3
151,1,23,1,-2.3
151,2,23,1,97.5
152,1,30,1,-3.0
152,2,30,1,61.6
153,1,25,1,-12.5
153,2,25,1,92.3
